date,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean,total_cases,total_deaths
2020-04-14,ME,1344212,92.29114813741056,0.0011139639808280318,0.004500385492562814,734,20
2020-04-15,ME,1344212,95.39055059717148,0.001072543352104023,0.004571349410900972,770,24
2020-04-16,ME,1344212,99.57558877170194,0.0010434546976452006,0.004645426705830419,796,27
2020-04-17,ME,1344212,104.81307351954959,0.0010279148530771976,0.00472340032421766,827,29
2020-04-18,ME,1344212,113.02737044853063,0.0010280293207342987,0.004807484806760987,847,32
2020-04-19,ME,1344212,122.141734574124,0.0010435905868419987,0.004898349740695607,867,34
2020-04-20,ME,1344212,130.76751565335098,0.001073696795209944,0.0049956316543025014,875,35
2020-04-21,ME,1344212,137.65638983780477,0.0011131755573715182,0.005098038409961434,888,36
2020-04-22,ME,1344212,143.98626027025034,0.0011586908712209077,0.005205154147858619,907,39
2020-04-23,ME,1344212,149.04132550040342,0.0012076439831448628,0.005316030501812015,937,44
2020-04-24,ME,1344212,152.7112508930865,0.001258722251805453,0.005429637024364326,965,47
2020-04-25,ME,1344212,151.60429432289268,0.0013079864529796819,0.0055424200484132805,990,50
2020-04-26,ME,1344212,147.557868315003,0.001353055637997489,0.005652192813657902,1015,50
2020-04-27,ME,1344212,143.31624570439575,0.001393934815288685,0.005758810107436261,1023,51
2020-04-28,ME,1344212,140.5761990626112,0.001431661684026245,0.00586338899756863,1040,51
2020-04-29,ME,1344212,137.89128058685228,0.0014655850030037886,0.0059659704955666035,1056,52
2020-04-30,ME,1344212,135.6631256767445,0.0014955449907732572,0.006066894401674229,1095,53
2020-05-01,ME,1344212,134.11512178648192,0.0015212399949948979,0.006166666700825317,1123,55
2020-05-02,ME,1344212,137.06695501469522,0.001545234633857775,0.006268634958075435,1152,56
2020-05-03,ME,1344212,142.30436658566722,0.0015670146775838662,0.006374499484344854,1185,57
2020-05-04,ME,1344212,150.09249099644236,0.0015878080914369771,0.006486157832132585,1205,57
2020-05-05,ME,1344212,158.04200146951138,0.0016080984071134927,0.006603730061415996,1226,61
2020-05-06,ME,1344212,165.46595600933856,0.0016287867852648066,0.006726825195226242,1254,62
2020-05-07,ME,1344212,173.0064065637546,0.0016503757506166293,0.006855529898475249,1330,62
2020-05-08,ME,1344212,179.97982785957544,0.00167339183911991,0.006989422340931926,1374,63
2020-05-09,ME,1344212,182.2995537895381,0.001695403473368415,0.007125040497732743,1408,64
2020-05-10,ME,1344212,181.61948346844636,0.0017177326812207135,0.007260152729633995,1436,64
2020-05-11,ME,1344212,177.1363708707203,0.001739737024699062,0.007391929838356964,1462,65
2020-05-12,ME,1344212,169.47837104627328,0.0017591998217443769,0.007518009929180638,1477,65
2020-05-13,ME,1344212,161.53986576073717,0.0017747953280321696,0.007638184325600798,1515,66
2020-05-14,ME,1344212,153.43875831476257,0.001786361567381253,0.007752332062947855,1565,69
2020-05-15,ME,1344212,143.58453914298815,0.0017922545466629762,0.007859148948337205,1603,69
2020-05-16,ME,1344212,136.20288213901293,0.0017938076947917915,0.007960474395617107,1648,70
2020-05-17,ME,1344212,132.02780559185132,0.0017900589189864544,0.008058693877061889,1687,70
2020-05-18,ME,1344212,126.94087127251858,0.001778629549725394,0.008153129034070245,1713,71
2020-05-19,ME,1344212,124.30289648162423,0.0017594438896399178,0.008245601721772501,1741,73
2020-05-20,ME,1344212,120.94237568207924,0.0017318443549032597,0.008335574416319253,1819,73
2020-05-21,ME,1344212,118.00706035696344,0.0016965382457088955,0.008423363440935135,1877,73
2020-05-22,ME,1344212,116.60140937215928,0.0016545768607550376,0.008510106759230284,1948,75
2020-05-23,ME,1344212,113.64039311835668,0.0016052249469637465,0.00859464728789567,2013,77
2020-05-24,ME,1344212,109.16995759970757,0.0015508216265129318,0.008675862124245672,2055,78
2020-05-25,ME,1344212,107.11851459427805,0.0014953981004068055,0.008755550830040797,2074,78
2020-05-26,ME,1344212,106.28581502905597,0.0014426902270641597,0.008834620065421121,2109,79
2020-05-27,ME,1344212,106.04784547297835,0.0013955023388640135,0.008913512268044651,2137,81
2020-05-28,ME,1344212,104.75776314327548,0.0013532604137677776,0.008991444739368575,2189,84
2020-05-29,ME,1344212,103.19451849283018,0.0013158822027252244,0.009068214265673079,2226,85
2020-05-30,ME,1344212,101.6115765199091,0.0012846572451864738,0.009143806193523677,2282,89
2020-05-31,ME,1344212,99.70888907833559,0.00125750825896951,0.009217982654586617,2325,89
2020-06-01,ME,1344212,98.50922751938114,0.001232572774036724,0.009291266651098612,2349,89
2020-06-02,ME,1344212,94.53237287377279,0.001208463110978556,0.009361592145048803,2377,94
2020-06-03,ME,1344212,90.30621075631815,0.001183171947289119,0.00942877366906162,2418,95
2020-06-04,ME,1344212,85.68877891470422,0.0011569457294251398,0.009492520145744393,2446,95
2020-06-05,ME,1344212,80.91360296080272,0.001129350783541484,0.00955271422447662,2482,98
2020-06-06,ME,1344212,77.99946969774564,0.0011006336320248976,0.009610740391255184,2524,98
2020-06-07,ME,1344212,76.53745599498127,0.001073031633885188,0.00966767892178086,2570,99
2020-06-08,ME,1344212,74.84535630926756,0.001047496523879891,0.009723358648125565,2588,99
2020-06-09,ME,1344212,74.24402795324069,0.0010230401980614657,0.009778591028102265,2606,100
2020-06-10,ME,1344212,76.12280347147033,0.001000601020641843,0.009835221086062966,2637,100
2020-06-11,ME,1344212,80.38861014050183,0.0009815123386984618,0.009895024606743113,2667,100
2020-06-12,ME,1344212,85.8546402200243,0.0009674497333034413,0.009958894472672019,2721,100
2020-06-13,ME,1344212,90.97287966091686,0.0009583576861918896,0.01002657195186497,2757,100
2020-06-14,ME,1344212,96.8866222605473,0.0009548426496802664,0.010098648843203946,2793,100
2020-06-15,ME,1344212,100.87466183352232,0.000955709903324176,0.010173692557910794,2810,101
2020-06-16,ME,1344212,106.57175702963467,0.0009617078631030304,0.010252974514201643,2819,101
2020-06-17,ME,1344212,108.55075629121197,0.0009721365629044302,0.010333728707953233,2836,102
